Solyc06g008660.2.1	Unknown Protein (AHRD V1)
Solyc06g008670.2.1	Unknown Protein (AHRD V1)
Solyc06g008680.2.1	Unknown Protein (AHRD V1)
Solyc06g008690.1.1	Kelch-like protein 14 (AHRD V1 ***- B6T7I5_MAIZE); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller 
Solyc06g008700.2.1	tRNA (Guanine-N7-)-methyltransferase subunit Trm82 (AHRD V1 **-- B6K7X4_SCHJY); contains Interpro domain(s)  IPR017986  WD40 repeat, region 
Solyc06g008710.1.1	Cullin 1B (AHRD V1 ***- Q711G7_TOBAC); contains Interpro domain(s)  IPR001373  Cullin, N-terminal 
Solyc06g008720.2.1	Zinc ion binding protein (AHRD V1 *-*- D7LTA9_ARALY)
Solyc06g008730.2.1	26S protease regulatory subunit 7 homolog A (AHRD V1 *--- PRS7A_ARATH); contains Interpro domain(s)  IPR003959  ATPase, AAA-type, core 
Solyc06g008740.2.1	Zinc finger CCCH domain-containing protein 32 (AHRD V1 ***- C3H32_ARATH); contains Interpro domain(s)  IPR000571  Zinc finger, CCCH-type 
Solyc06g008750.1.1	Glutaredoxin (AHRD V1 **** B9I9W1_POPTR); contains Interpro domain(s)  IPR011905  Glutaredoxin-like, plant II 
Solyc06g008760.1.1	Glutaredoxin (AHRD V1 ***- B3F8F2_SOLTU); contains Interpro domain(s)  IPR011905  Glutaredoxin-like, plant II 
Solyc06g008770.1.1	Cc-nbs-lrr, resistance protein
Solyc06g008780.1.1	Auxin F-box protein 5 (AHRD V1 **-- D7MPH1_ARALY); contains Interpro domain(s)  IPR006553  Leucine-rich repeat, cysteine-containing subtype 
Solyc06g008790.2.1	Cc-nbs-lrr, resistance protein
Solyc06g008800.1.1	Cc-nbs-lrr, resistance protein
Solyc06g008810.2.1	Auxin F-box protein 5 (AHRD V1 **-- D7MPH1_ARALY); contains Interpro domain(s)  IPR006553  Leucine-rich repeat, cysteine-containing subtype 
Solyc06g008820.2.1	Sodium/hydrogen exchanger (AHRD V1 **** Q93YH2_SOLLC); contains Interpro domain(s)  IPR018407  Na+/H+ exchanger, isoforms 1-4, conserved region 
Solyc06g008830.1.1	Calcium-dependent protein kinase-like (AHRD V1 **** Q9LET1_ARATH); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc06g008840.2.1	Mediator of DNA damage checkpoint protein 1 (AHRD V1 *--- MDC1_PIG); contains Interpro domain(s)  IPR001357  BRCT 
Solyc06g008850.2.1	Genomic DNA chromosome 5 TAC clone K22G18 (AHRD V1 *--- Q9FH52_ARATH); contains Interpro domain(s)  IPR013989  Development and cell death domain 
Solyc06g008860.2.1	U1 small nuclear ribonucleoprotein C protein (AHRD V1 *-*- C1MKH9_MICPS); contains Interpro domain(s)  IPR000690  Zinc finger, C2H2-type matrin 
Solyc06g008870.2.1	GID1-like gibberellin receptor (AHRD V1 **-- A7MAQ4_HORVU); contains Interpro domain(s)  IPR013094  Alpha/beta hydrolase fold-3 
Solyc06g008880.2.1	WD repeat protein 23 (AHRD V1 **-- B0WXG6_CULQU); contains Interpro domain(s)  IPR020472  G-protein beta WD-40 repeat, region 
Solyc06g008890.2.1	S-receptor kinase -like protein (AHRD V1 **** O49361_ARATH); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc06g008900.2.1	Inhibitor of apoptosis protein (AGAP011326-PA) (AHRD V1 *--- Q7QHS1_ANOGA); contains Interpro domain(s)  IPR001841  Zinc finger, RING-type 
Solyc06g008910.2.1	Glycosyltransferase family GT8 protein (AHRD V1 ***- D0ECQ6_POPDE); contains Interpro domain(s)  IPR002495  Glycosyl transferase, family 8 
Solyc06g008920.2.1	Acyl-CoA synthetase/AMP-acid ligase II (AHRD V1 **** D0C359_9GAMM); contains Interpro domain(s)  IPR000873  AMP-dependent synthetase and ligase 
Solyc06g008930.2.1	Unknown Protein (AHRD V1)
Solyc06g008940.2.1	Elongation factor Tu (AHRD V1 **** B9SFP0_RICCO); contains Interpro domain(s)  IPR004541  Translation elongation factor EFTu/EF1A, bacterial and organelle 
Solyc06g008950.1.1	Unknown Protein (AHRD V1)
Solyc06g008960.2.1	At2g23590-like protein (Fragment) (AHRD V1 *-*- B2CXK7_CARAS)
Solyc06g008970.2.1	ATP-dependent DNA helicase Ta0057 (AHRD V1 **** XPD_THEAC); contains Interpro domain(s)  IPR001945  Xeroderma pigmentosum group D protein 
Solyc06g008980.2.1	Unknown Protein (AHRD V1)
Solyc06g008990.1.1	Unknown Protein (AHRD V1)
Solyc06g009000.1.1	Mediator of aba-regulated dormancy 1 (AHRD V1 *-*- D7LTE7_ARALY)
Solyc06g009010.1.1	Nuclear transcription factor Y subunit B-3 (AHRD V1 *-** B6SUG8_MAIZE); contains Interpro domain(s)  IPR003957  Transcription factor, CBFA/NFYB, DNA topoisomerase 
Solyc06g009020.2.1	Glutathione S-transferase (AHRD V1 **** A5YWI8_SOLCO); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal 
Solyc06g009030.1.1	Unknown Protein (AHRD V1)
Solyc06g009040.2.1	Glutathione S-transferase (AHRD V1 **** A5YWI9_SOLTU); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal 
Solyc06g009050.2.1	Universal stress protein (AHRD V1 ***- B4UW73_ARAHY); contains Interpro domain(s)  IPR006016  UspA 
Solyc06g009060.2.1	Arginine/serine-rich splicing factor (AHRD V1 *-*- B0WP07_CULQU); contains Interpro domain(s)  IPR000504  RNA recognition motif, RNP-1 
Solyc06g009070.2.1	ATP-dependent RNA helicase (AHRD V1 *-*- Q16ZW5_AEDAE); contains Interpro domain(s)  IPR014001  DEAD-like helicase, N-terminal 
Solyc06g009080.1.1	Nucellin-like aspartic protease (Fragment) (AHRD V1 **-- Q8L886_MAIZE); contains Interpro domain(s)  IPR001461  Peptidase A1 
Solyc06g009090.1.1	Nucellin-like aspartic protease (Fragment) (AHRD V1 **-- Q8L886_MAIZE); contains Interpro domain(s)  IPR001461  Peptidase A1 
Solyc06g009100.1.1	Helitron helicase-like protein (AHRD V1 ***- D0NJ00_PHYIN); contains Interpro domain(s)  IPR010285  Protein of unknown function DUF889, eukaryote 
Solyc06g009110.2.1	Nucellin-like aspartic protease (Fragment) (AHRD V1 **-- Q8L886_MAIZE); contains Interpro domain(s)  IPR001461  Peptidase A1 
Solyc06g009120.2.1	Unknown Protein (AHRD V1)
Solyc06g009130.2.1	Sodium-calcium exchanger 3 (Fragment) (AHRD V1 *-*- Q9EPU8_MOUSE); contains Interpro domain(s)  IPR004837  Sodium/calcium exchanger membrane region 
Solyc06g009140.2.1	Late embryogenesis abundant 3 family protein (AHRD V1 ***- D7KBC5_ARALY); contains Interpro domain(s)  IPR004926  Late embryogenesis abundant protein 3 
Solyc06g009150.1.1	POT family domain containing protein expressed (AHRD V1 ***- D8L9H8_WHEAT); contains Interpro domain(s)  IPR007493  Protein of unknown function DUF538 
Solyc06g009160.2.1	Fatty acid oxidation complex subunit alpha (AHRD V1 ***- D2ZF34_9ENTR); contains Interpro domain(s)  IPR001753  Crotonase, core 
Solyc06g009170.2.1	Epoxide hydrolase 1 (AHRD V1 **** D8L7V7_PRUPE); contains Interpro domain(s)  IPR000639  Epoxide hydrolase-like 
Solyc06g009180.1.1	Pectinesterase (AHRD V1 ***- B9I9P7_POPTR); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic 
Solyc06g009190.2.1	Pectinesterase (AHRD V1 ***- B9SAU4_RICCO); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic 
Solyc06g009200.2.1	Polygalacturonase (AHRD V1 ***- Q2M4X6_LILLO); contains Interpro domain(s)  IPR000743  Glycoside hydrolase, family 28 
Solyc06g009210.2.1	Ribosomal protein L19 (AHRD V1 ***- Q2PYW9_SOLTU); contains Interpro domain(s)  IPR000196  Ribosomal protein L19/L19e 
Solyc06g009220.2.1	Glycogen debranching enzyme (AHRD V1 ***- B1R1G0_CLOBU); contains Interpro domain(s)  IPR006589  Glycosyl hydrolase, family 13, subfamily, catalytic region 
Solyc06g009230.1.1	Unknown Protein (AHRD V1)
Solyc06g009240.2.1	Cation/H(+) antiporter 15 (AHRD V1 **** CHX15_ARATH); contains Interpro domain(s)  IPR006153  Cation/H+ exchanger 
Solyc06g009250.1.1	F-box/LRR-repeat protein At3g48880 (AHRD V1 *-*- FBL53_ARATH)
Solyc06g009260.2.1	Unknown Protein (AHRD V1)
Solyc06g009270.2.1	Diacylglycerol kinase 7 (AHRD V1 **** B0KYU1_ARATH); contains Interpro domain(s)  IPR016961  Diacylglycerol kinase, plant 
Solyc06g009280.1.1	Lipid A export ATP-binding/permease protein msbA (AHRD V1 *--- MSBA_SYNAS); contains Interpro domain(s)  IPR003439  ABC transporter-like 
Solyc06g009290.2.1	Lipid A export ATP-binding/permease protein msbA (AHRD V1 *--- MSBA_SYNAS); contains Interpro domain(s)  IPR003439  ABC transporter-like 
Solyc06g009300.1.1	Unknown Protein (AHRD V1)
Solyc06g009310.1.1	Outer membrane protein (AHRD V1 *-*- A3WDT8_9SPHN)
Solyc06g009320.1.1	Unknown Protein (AHRD V1)
Solyc06g009330.2.1	Outward rectifying potassium channel (AHRD V1 **** B9GT93_POPTR); contains Interpro domain(s)  IPR013099  Ion transport 2 
Solyc06g009340.2.1	DNAJ heat shock N-terminal domain-containing protein (AHRD V1 ***- D7LSU9_ARALY); contains Interpro domain(s)  IPR001623  Heat shock protein DnaJ, N-terminal 
Solyc06g009350.2.1	Unknown Protein (AHRD V1)
Solyc06g009360.1.1	Unknown Protein (AHRD V1)
Solyc06g009370.2.1	F7.9 (AHRD V1 ***- Q9XI11_ARATH)
Solyc06g009380.2.1	mRNA clone RAFL24-05-D16 (AHRD V1 ***- Q67YW5_ARATH)
Solyc06g009390.2.1	Protein phosphatase-2C (AHRD V1 ***- O82469_MESCR); contains Interpro domain(s)  IPR015655  Protein phosphatase 2C 
Solyc06g009400.2.1	Nitrogen regulatory protein P-II (AHRD V1 *-*- Q8DLA5_THEEB); contains Interpro domain(s)  IPR017918  Nitrogen regulatory protein PII, conserved site  IPR002187  Nitrogen regulatory protein PII 
Solyc06g009410.1.1	MYB transcription factor (AHRD V1 *-** Q94CJ3_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor 
Solyc06g009420.2.1	Unknown Protein (AHRD V1)
Solyc06g009430.1.1	MYB transcription factor (AHRD V1 *-** Q94CJ3_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor 
Solyc06g009440.1.1	Pentatricopeptide repeat-containing protein (AHRD V1 *-*- D7LHR6_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc06g009450.1.1	Unknown Protein (AHRD V1)
Solyc06g009460.1.1	Unknown Protein (AHRD V1)
Solyc06g009470.1.1	Unknown Protein (AHRD V1)
Solyc06g009480.1.1	MYB transcription factor (AHRD V1 *-** Q94CJ3_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor 
Solyc06g009490.2.1	Pentatricopeptide repeat-containing protein At5g27110 (AHRD V1 ***- PP398_ARATH)
Solyc06g009500.1.1	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7L041_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc06g009510.1.1	Transcription factor bHLH151 (AHRD V1 *-*- BH151_ARATH); contains Interpro domain(s)  IPR001092  Basic helix-loop-helix dimerisation region bHLH 
Solyc06g009520.2.1	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7LDK6_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc06g009530.2.1	Nodal modulator 3 (AHRD V1 ***- B0XK54_CULQU); contains Interpro domain(s)  IPR013784  Carbohydrate-binding-like fold 
Solyc06g009540.1.1	Pto-like, Serine/threonine kinase protein, resistance protein
Solyc06g009550.2.1	Receptor protein kinase-like protein (AHRD V1 *-** Q8VZH5_CAPAN); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc06g009560.1.1	Helitron helicase-like protein (AHRD V1 *-*- D0P001_PHYIN); contains Interpro domain(s)  IPR016027  Nucleic acid-binding, OB-fold-like 
Solyc06g009570.1.1	Lipoxygenase (AHRD V1 ***- B6D1W5_OLEEU); contains Interpro domain(s)  IPR001246  Lipoxygenase, plant 
Solyc06g009580.1.1	NAD(P)H-quinone oxidoreductase subunit 2 chloroplastic (AHRD V1 ***- D3WDR2_9ROSI)
Solyc06g009590.1.1	subunit of replication protein A (AHRD V1 ***- A6BLP0_IPONI)
Solyc06g009600.1.1	PAPA-1-like conserved region family protein expressed (AHRD V1 *-*- Q2QNL8_ORYSJ); contains Interpro domain(s)  IPR006880  PAPA-1-like conserved region 
Solyc06g009610.1.1	GRAS transcription factor (Fragment) (AHRD V1 *--- A2Q2Y2_MEDTR); contains Interpro domain(s)  IPR005202  GRAS transcription factor 
Solyc06g009620.1.1	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7L3P7_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc06g009630.1.1	CP12 (AHRD V1 ***- O24136_TOBAC); contains Interpro domain(s)  IPR003823  Protein of unknown function CP12 
Solyc06g009640.1.1	BZIP transcription factor (AHRD V1 **-* Q1HW69_CAPAN); contains Interpro domain(s)  IPR011700  Basic leucine zipper 
Solyc06g009650.2.1	Protein fat-free homolog (AHRD V1 ***- FFR_DICDI); contains Interpro domain(s)  IPR014812  Vps51/Vps67 
Solyc06g009660.2.1	ADP-ribosylation factor-like protein 3 (AHRD V1 **-- ARL3_CAEEL); contains Interpro domain(s)  IPR006687  GTP-binding protein SAR1 
Solyc06g009670.2.1	DNAJ heat shock N-terminal domain-containing protein (AHRD V1 ***- D7M452_ARALY); contains Interpro domain(s)  IPR011990  Tetratricopeptide-like helical 
Solyc06g009680.2.1	BRCT domain-containing protein (AHRD V1 *--- C5FMN4_NANOT); contains Interpro domain(s)  IPR001357  BRCT 
Solyc06g009690.1.1	cDNA clone J033051C12 full insert sequence (AHRD V1 *-*- B7EME2_ORYSJ); contains Interpro domain(s)  IPR016024  Armadillo-type fold 
Solyc06g009700.1.1	Ulp1 protease family C-terminal catalytic domain containing protein (AHRD V1 *-*- Q60D46_SOLDE)
Solyc06g009710.2.1	Myb 12 transcription factor (AHRD V1 *-** D2EBC3_9SOLN); contains Interpro domain(s)  IPR015495  Myb transcription factor 
Solyc06g009720.1.1	Unknown Protein (AHRD V1)
Solyc06g009730.1.1	Unknown Protein (AHRD V1)
Solyc06g009740.1.1	Unknown Protein (AHRD V1)
Solyc06g009750.2.1	Importin alpha-1b subunit (AHRD V1 ***- B6T451_MAIZE); contains Interpro domain(s)  IPR002652  Importin-alpha-like, importin-beta-binding region  IPR000225  Armadillo  IPR011989  Armadillo-like helical 
Solyc06g009760.1.1	Unknown Protein (AHRD V1)
Solyc06g009770.1.1	Binding protein (AHRD V1 ***- D7LT81_ARALY)
Solyc06g009780.2.1	Kinesin (AHRD V1 ***- Q5MNW6_GOSHI); contains Interpro domain(s)  IPR001752  Kinesin, motor region 
Solyc06g009790.2.1	Glycoside hydrolase family 28 protein/polygalacturonase family protein (AHRD V1 **-- Q1PF10_ARATH); contains Interpro domain(s)  IPR012334  Pectin lyase fold 
Solyc06g009800.1.1	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M9E6_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc06g009810.2.1	Unknown Protein (AHRD V1)
Solyc06g009820.2.1	Fumarate hydratase class II (AHRD V1 ***- C5JMG3_AJEDS); contains Interpro domain(s)  IPR000362  Fumarate lyase 
Solyc06g009830.2.1	Fumarate hydratase class II (AHRD V1 ***- B3CNQ4_WOLPP); contains Interpro domain(s)  IPR000362  Fumarate lyase 
Solyc06g009840.2.1	Fumarate hydratase class II (AHRD V1 ***- C6HT95_AJECH); contains Interpro domain(s)  IPR008948  L-Aspartase-like 
Solyc06g009850.1.1	Mercaptopyruvate sulfurtransferase 1 (AHRD V1 ***- B6V8T1_BRARP); contains Interpro domain(s)  IPR001763  Rhodanese-like 
Solyc06g009860.1.1	Mercaptopyruvate sulfurtransferase-like protein (AHRD V1 *-*- C0LIR4_SOLLC); contains Interpro domain(s)  IPR001763  Rhodanese-like 
Solyc06g009870.1.1	SKP1-like protein (AHRD V1 ***- C3V9V9_CITMA); contains Interpro domain(s)  IPR011333  BTB/POZ fold 
Solyc06g009880.1.1	SKP1-like protein (AHRD V1 ***- C3V9V9_CITMA); contains Interpro domain(s)  IPR011333  BTB/POZ fold 
Solyc06g009890.1.1	Unknown Protein (AHRD V1)
Solyc06g009900.1.1	ENT domain containing protein (AHRD V1 ***- B4FDM5_MAIZE); contains Interpro domain(s)  IPR005491  ENT 
Solyc06g009920.1.1	Unknown Protein (AHRD V1)
Solyc06g009930.1.1	Unknown Protein (AHRD V1)
Solyc06g009940.1.1	Photosystem I P700 chlorophyll a apoprotein A1 (AHRD V1 ***- D3WE64_9MAGN); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB 
Solyc06g009950.1.1	Photosystem I P700 chlorophyll a apoprotein A2 (AHRD V1 ***- D3WB19_DILIN); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB 
Solyc06g009960.1.1	Elongation factor 1-alpha (AHRD V1 ***- Q8H9C0_SOLTU); contains Interpro domain(s)  IPR004539  Translation elongation factor EF1A, eukaryotic and archaeal 
Solyc06g009970.2.1	Elongation factor 1-alpha (AHRD V1 ***- Q8H9C0_SOLTU); contains Interpro domain(s)  IPR004539  Translation elongation factor EF1A, eukaryotic and archaeal  IPR000795  Protein synthesis factor, GTP-binding 
Solyc06g009980.1.1	Unknown Protein (AHRD V1)
Solyc06g009990.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR000366  Fungal pheromone mating factor STE2 GPCR 
Solyc06g010000.2.1	Sumo ligase (AHRD V1 *--* B0WPL7_CULQU); contains Interpro domain(s)  IPR004181  Zinc finger, MIZ-type 
Solyc06g010010.1.1	Mlo like protein (AHRD V1 ***- Q0WWA7_ARATH); contains Interpro domain(s)  IPR004326  Mlo-related protein 
Solyc06g010020.1.1	Unknown Protein (AHRD V1)
Solyc06g010030.2.1	MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein 
Solyc06g010040.2.1	Unknown Protein (AHRD V1)
Solyc06g010050.1.1	Unknown Protein (AHRD V1)
Solyc06g010060.1.1	Protein transport protein Sec61 beta subunit (AHRD V1 *-*- B6UEM6_MAIZE); contains Interpro domain(s)  IPR016482  Preprotein translocase Sec, Sec61-beta subunit, eukarya 
Solyc06g010080.1.1	Unknown Protein (AHRD V1)
Solyc06g010090.1.1	DNA-binding protein SMUBP-2 (AHRD V1 *-*- C5FXH0_NANOT)
Solyc06g010100.1.1	E3 SUMO-protein ligase SIZ1 (AHRD V1 *--- SIZ1_ARATH); contains Interpro domain(s)  IPR004181  Zinc finger, MIZ-type 
Solyc06g010110.1.1	Regulator of nonsense transcripts 1-like (AHRD V1 **-- Q5Z4Y8_ORYSJ)
Solyc06g010120.1.1	Os10g0537600 protein (Fragment) (AHRD V1 *-*- Q0IW26_ORYSJ)
Solyc06g010130.1.1	Unknown Protein (AHRD V1)
Solyc06g010140.1.1	Unknown Protein (AHRD V1)
Solyc06g010150.1.1	Unknown Protein (AHRD V1)
Solyc06g010160.1.1	Unknown Protein (AHRD V1)
Solyc06g010170.2.1	Lysine ketoglutarate reductase trans-splicing related 1 (AHRD V1 ***- B6TPP1_MAIZE); contains Interpro domain(s)  IPR007877  Protein of unknown function DUF707 
Solyc06g010180.1.1	CNGC5-like protein (Fragment) (AHRD V1 ***- A5X8C0_9FABA); contains Interpro domain(s)  IPR018490  Cyclic nucleotide-binding-like 
Solyc06g010190.1.1	Cyclic nucleotide-gated ion channel 18 (AHRD V1 **** D7M6N7_ARALY)
Solyc06g010200.2.1	Chromodomain helicase DNA-binding protein 4 (AHRD V1 *-*- D5LXF2_SCHMD)
Solyc06g010210.2.1	Chromodomain helicase DNA binding protein (AHRD V1 *-*- Q17C31_AEDAE)
Solyc06g010220.1.1	Chromodomain helicase DNA binding protein 3 (Fragment) (AHRD V1 *--- B1AR16_MOUSE); contains Interpro domain(s)  IPR019787  Zinc finger, PHD-finger 
Solyc06g010230.2.1	Unknown Protein (AHRD V1)
Solyc06g010240.1.1	Unknown Protein (AHRD V1)
Solyc06g010250.2.1	Nitrate transporter (AHRD V1 **** A5JUX2_9ROSI); contains Interpro domain(s)  IPR016196  Major facilitator superfamily, general substrate transporter 
Solyc06g010260.2.1	5&apos;-AMP-activated protein kinase subunit beta-2 (AHRD V1 *-*- AAKB2_HUMAN); contains Interpro domain(s)  IPR006828  5-AMP-activated protein kinase, beta subunit, complex-interacting region 
Solyc06g010270.1.1	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7LIG2_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc06g011270.1.1	Unknown Protein (AHRD V1)
Solyc06g011280.2.1	Elongation factor 1-gamma (AHRD V1 ***- B7SDI2_ORYSJ); contains Interpro domain(s)  IPR001662  Translation elongation factor EF1B, gamma chain, conserved 
Solyc06g011290.1.1	Amidohydrolase family (AHRD V1 ***- B4VKN3_9CYAN); contains Interpro domain(s)  IPR006992  Amidohydrolase 2 
Solyc06g011300.1.1	Pol polyprotein (AHRD V1 ***- Q94FM1_CITPA)
Solyc06g011310.1.1	Gag-Pol polyprotein (AHRD V1 ***- B8YLY7_LOTJA); contains Interpro domain(s)  IPR018061  Peptidase A2A, retrovirus RVP subgroup 
Solyc06g011320.1.1	Nodulin / glutamate-ammonia ligase-like protein (AHRD V1 *-*- Q8W4B7_ARATH)
Solyc06g011330.1.1	Glutamine synthetase I (AHRD V1 ***- Q9SC91_MEDTR); contains Interpro domain(s)  IPR008146  Glutamine synthetase, catalytic region 
Solyc06g011340.1.1	Unknown Protein (AHRD V1)
Solyc06g011350.2.1	Aquaporin 2 (AHRD V1 ***- O65357_SAMSA); contains Interpro domain(s)  IPR012269  Aquaporin 
Solyc06g011360.1.1	Unknown Protein (AHRD V1)
Solyc06g011370.2.1	Chaperone protein clpB 2 (AHRD V1 ***- D4TPI3_9NOST); contains Interpro domain(s)  IPR004176  Clp, N-terminal 
Solyc06g011380.2.1	Chaperone ClpB (AHRD V1 ***- A5GSF0_SYNR3)
Solyc06g011390.1.1	Unknown Protein (AHRD V1)
Solyc06g011400.2.1	ATP-dependent chaperone ClpB (AHRD V1 **** B5W0X8_SPIMA); contains Interpro domain(s)  IPR013093  ATPase associated with various cellular activities, AAA-2 
Solyc06g011410.1.1	Helicase-like protein (AHRD V1 *-*- Q69V29_ORYSJ); contains Interpro domain(s)  IPR010285  Protein of unknown function DUF889, eukaryote 
Solyc06g011420.1.1	Gag-Pol polyprotein (AHRD V1 ***- B8YLY4_MEDTR)
Solyc06g011430.1.1	Unknown Protein (AHRD V1)
Solyc06g011440.1.1	Unknown Protein (AHRD V1)
Solyc06g011450.1.1	Phosphatidylinositol binding clathrin assembly protein (AHRD V1 *-** Q7ZVU6_DANRE); contains Interpro domain(s)  IPR011417  ANTH 
Solyc06g011460.1.1	Unknown Protein (AHRD V1)
Solyc06g011470.2.1	Unknown Protein (AHRD V1)
Solyc06g011480.1.1	Dynamin-related protein 1E (AHRD V1 *-*- DRP1E_ARATH)
Solyc06g011490.2.1	Unknown Protein (AHRD V1)
Solyc06g011500.1.1	Unknown Protein (AHRD V1)
Solyc06g011510.1.1	40S ribosomal protein S23 (AHRD V1 ***- B6TI93_MAIZE); contains Interpro domain(s)  IPR006032  Ribosomal protein S12/S23 
Solyc06g011520.2.1	ACT domain-containing protein (AHRD V1 **-- D7M3X3_ARALY); contains Interpro domain(s)  IPR002912  Amino acid-binding ACT 
Solyc06g011530.2.1	Hydroxymethylglutaryl-CoA lyase (AHRD V1 *-*- B6U7B9_MAIZE); contains Interpro domain(s)  IPR000891  Pyruvate carboxyltransferase 
Solyc06g011540.2.1	Myosin (AHRD V1 ***- Q39158_ARATH); contains Interpro domain(s)  IPR001609  Myosin head, motor region 
Solyc06g011550.2.1	Myosin XI-K (AHRD V1 ***- B0CN61_NICBE)
Solyc06g011560.2.1	mRNA clone RAFL24-05-D16 (AHRD V1 ***- Q67YW5_ARATH)
Solyc06g011570.2.1	Haloacid dehalogenase-like hydrolase-like (AHRD V1 ***- Q5JNL2_ORYSJ); contains Interpro domain(s)  IPR002036  Uncharacterised protein family UPF0054 
Solyc06g011580.1.1	Unknown Protein (AHRD V1)
Solyc06g011590.1.1	Nodulin family protein (AHRD V1 ***- D7LIF1_ARALY); contains Interpro domain(s)  IPR010658  Nodulin-like 
Solyc06g011610.1.1	cDNA clone J023134O11 full insert sequence (AHRD V1 *--- B7EL40_ORYSJ); contains Interpro domain(s)  IPR004853  Protein of unknown function DUF250 
Solyc06g011620.1.1	ABC transporter C family member 14 (AHRD V1 ***- AB14C_ARATH)
Solyc06g011630.1.1	Nucleotide-sensitive chloride conductance regulator (AHRD V1 **-- D2U835_9ROSI)
Solyc06g011640.1.1	Helitron helicase-like protein (AHRD V1 ***- D0NDZ2_PHYIN)
Solyc06g011650.1.1	Helitron helicase-like protein (AHRD V1 *-*- D0NDZ2_PHYIN); contains Interpro domain(s)  IPR010285  Protein of unknown function DUF889, eukaryote 
Solyc06g011660.1.1	Transporter-like protein (AHRD V1 *--- Q8LC71_ARATH); contains Interpro domain(s)  IPR016196  Major facilitator superfamily, general substrate transporter 
Solyc06g016660.2.1	Unknown Protein (AHRD V1)
Solyc06g016670.1.1	Unknown Protein (AHRD V1)
Solyc06g016680.1.1	Unknown Protein (AHRD V1)
Solyc06g016690.1.1	Unknown Protein (AHRD V1)
Solyc06g016700.1.1	Unknown Protein (AHRD V1)
Solyc06g016710.1.1	Unknown Protein (AHRD V1)
Solyc06g016720.1.1	Unknown Protein (AHRD V1)
Solyc06g016730.1.1	Unknown Protein (AHRD V1)
Solyc06g016740.1.1	HAT dimerisation domain-containing protein-like (AHRD V1 ***- Q5VNQ7_ORYSJ); contains Interpro domain(s)  IPR007021  Protein of unknown function DUF659 
Solyc06g016750.2.1	Transcription factor (Fragment) (AHRD V1 *-*- D6MK76_9ASPA); contains Interpro domain(s)  IPR003958  Transcription factor CBF/NF-Y/archaeal histone 
Solyc06g016760.1.1	Gamma-secretase subunit PEN2-like (AHRD V1 *-*- Q5JN39_ORYSJ); contains Interpro domain(s)  IPR019379  Gamma-secretase aspartyl protease complex, presenilin enhancer-2 subunit 
Solyc06g016770.2.1	Zinc finger family protein (AHRD V1 **-- D7MTV5_ARALY); contains Interpro domain(s)  IPR011016  Zinc finger, RING-CH-type 
Solyc06g016780.1.1	Unknown Protein (AHRD V1)
Solyc06g016790.1.1	Unknown Protein (AHRD V1)
Solyc06g016800.1.1	CTP synthase (AHRD V1 ***- B6K8E6_SCHJY); contains Interpro domain(s)  IPR000991  Glutamine amidotransferase class-I, C-terminal 
Solyc06g016810.1.1	Unknown Protein (AHRD V1)
Solyc06g016820.1.1	Unknown Protein (AHRD V1)
Solyc06g016830.1.1	Ycf2 (AHRD V1 *-*- A6YA23_9MAGN); contains Interpro domain(s)  IPR008543  Chloroplast Ycf2 
Solyc06g016840.1.1	Mutator-like transposase (AHRD V1 *--- Q94HK4_ORYSA); contains Interpro domain(s)  IPR006564  Zinc finger, PMZ-type 
Solyc06g016850.1.1	Unknown Protein (AHRD V1)
Solyc06g017850.1.1	Unknown Protein (AHRD V1)
